Match_Id,Match_Date,Team_Name_Id,Opponent_Team_Id,Venue_Name,Toss_Winner_Id,Won_By,Match_Winner_Id,Man_Of_The_Match_Id,First_Umpire_Id,Second_Umpire_Id,City_Name
980982,9-May-16,4,2,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,1,2,32,495,482,Chandigarh
980984,10-May-16,12,11,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,11,4,11,430,505,521,Visakhapatnam
980986,11-May-16,2,7,M Chinnaswamy Stadium,7,6,7,413,509,499,Bangalore
980988,12-May-16,11,6,"Rajiv Gandhi International Stadium, Uppal",6,?,6,350,508,481,Hyderabad
980990,13-May-16,7,4,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,7,7,4,409,482,498,Visakhapatnam
980992,14-May-16,2,13,M Chinnaswamy Stadium,13,144,2,110,509,521,Bangalore
980994,14-May-16,1,12,Eden Gardens,12,8,1,31,511,497,Kolkata
980996,15-May-16,4,11,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,7,11,427,510,481,Chandigarh
980998,15-May-16,7,6,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,6,80,7,413,507,498,Visakhapatnam
981000,16-May-16,1,2,Eden Gardens,2,9,2,8,505,511,Kolkata
981002,17-May-16,12,6,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,12,?,12,106,507,499,Visakhapatnam
981004,18-May-16,2,4,M Chinnaswamy Stadium,4,82,2,8,510,481,Bangalore
981006,19-May-16,13,1,Green Park,13,6,13,147,495,498,Kanpur
981008,20-May-16,6,11,Shaheed Veer Narayan Singh International Stadium,6,6,6,339,511,497,Raipur
981010,21-May-16,12,4,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4,4,12,20,482,507,Visakhapatnam
981012,21-May-16,13,7,Green Park,13,6,13,21,495,498,Kanpur
981014,22-May-16,1,11,Eden Gardens,11,22,1,31,510,481,Kolkata
981016,22-May-16,6,2,Shaheed Veer Narayan Singh International Stadium,2,6,2,8,511,497,Raipur
981018,24-May-16,13,2,M Chinnaswamy Stadium,2,4,2,110,495,482,Bangalore
981020,25-May-16,11,1,Feroz Shah Kotla,1,22,11,163,481,499,Delhi
981022,27-May-16,13,11,Feroz Shah Kotla,11,4,11,187,481,498,Delhi
981024,29-May-16,2,11,M Chinnaswamy Stadium,11,8,11,385,482,497,Bangalore
